,ast
ast_to_tov,0.772641039907602
ast_ewma_10,0.712469715691193
ast_roll10,0.7057218842577179
ast_away_avg,0.7057218842577179
ast_home_avg,0.7057218842577179
ast_ewma_5,0.6971575321861238
ast_roll5,0.689675405425972
ast_ewma_3,0.6741724450823976
ast_roll3,0.665364231231732
ast_vs_opp_weighted,0.6399605982416756
ast_vs_opp_career,0.5846421800650904
ast_vs_opp_last3,0.5799960338750112
tov_roll10,0.5664905809190836
min,0.5619219522610184
ast_std_10g,0.5499269734098093
fga,0.5342392892313652
fga_roll10,0.5318544041475569
ast_to_tov_roll5,0.5304304192555109
tov_roll5,0.530351801798192
pts_ewma_10,0.5251279399937758
fga_roll5,0.5240836505708241
pts_roll10,0.5203139015974356
pts_home_avg,0.5203139015974356
pts_away_avg,0.5203139015974356
pts_ewma_5,0.5148278058840853
fga_roll3,0.5127803334839093
fgm_roll10,0.5084242889233168
pts_roll5,0.5070506574022878
pts_ewma_3,0.49924165039816853
fgm_roll5,0.4938018468767692
pts,0.4924158653000836
min_season_avg,0.4911338298417643
tov_roll3,0.4906129625078814
pts_roll3,0.48940785887184085
min_roll10,0.48090063879966555
min_roll5,0.4761014374961496
fgm_roll3,0.4742343500422791
fgm,0.4731254286802292
pts_vs_opp_weighted,0.4710640722760865
min_last_3g,0.47000411183837326
min_roll3,0.46937218208943
pts_on_b2b_avg,0.4685113121359128
consecutive_high_min,0.4642646057152764
ftm_roll10,0.4567737598647416
fta_roll10,0.44473783283354357
ftm_roll5,0.431145259745551
pts_vs_opp_career,0.43000927990612287
pts_vs_opp_last3,0.425951920412618
tov,0.4221930603108716
to,0.4221930603108716
fta_roll5,0.4214798788076964
is_high_min_game,0.4127245102361357
ftm_roll3,0.4040555612935908
fta_roll3,0.3959034983484498
stl_roll10,0.3745991573784213
fg3a_roll10,0.3727150388549868
fg3a,0.3695878631894022
fg3a_roll5,0.36342486965291015
ftm,0.3621376172189092
fta,0.3593014766530145
fg3a_roll3,0.3512347609755721
fg3m_ewma_10,0.34867300680021757
fg3m_away_avg,0.3441713418958103
fg3m_home_avg,0.3441713418958103
fg3m_roll10,0.3441713418958103
fg3m_ewma_5,0.33141258192607764
stl_roll5,0.3243226549298282
fg3m_roll5,0.32429722735900895
dreb,0.32303439619150753
fg3m_ewma_3,0.3100912749768304
dreb_roll10,0.30726701913993343
fg3m_roll3,0.3003268580220767
dreb_roll5,0.2948636778931004
ft_pct,0.2909231551795166
fg3m,0.28518545058166855
usage_rate,0.28182531883185363
reb,0.2787599955543961
stl_roll3,0.27720866855280824
dreb_roll3,0.27643161891372964
pts_std_10g,0.27409756547780756
stl,0.2708757674098884
reb_ewma_10,0.2432576670554832
reb_away_avg,0.2399985414072151
reb_roll10,0.2399985414072151
reb_home_avg,0.2399985414072151
ft_pct_roll5,0.23921364400795503
reb_ewma_5,0.2380849727251752
pf_roll10,0.2350837594288834
reb_roll5,0.23171844391782942
reb_ewma_3,0.22958915582945483
pts_per_fga_roll5,0.22910433250696846
reb_roll3,0.21752723377535796
ft_pct_roll10,0.2156666083104947
pf_roll5,0.2115363135825648
reb_vs_opp_weighted,0.1874944100986199
pf,0.18420583227870005
pf_roll3,0.18350115977226766
reb_vs_opp_career,0.16652730728517443
plus_minus,0.16471232888286205
reb_vs_opp_last3,0.16442214631258287
fg3_pct,0.14673370388724752
fg3_pct_roll5,0.14497399482507983
fg3_pct_roll10,0.13563721691943487
pts_per_fga,0.12111131715371609
fg_pct,0.1059476504215051
season_progress,0.09643926403584369
day_of_season,0.09643926403584363
min_above_avg,0.09641133464620233
games_vs_opp,0.07685665694975677
reb_vs_opp_weight,0.07677098763268331
ast_vs_opp_weight,0.07677098763268331
pts_vs_opp_weight,0.07677098763268331
three_point_rate_roll5,0.07347585693374231
oreb,0.06441233202485229
blk,0.05499135696011693
fg_pct_roll5,0.04968700793954455
blk_roll10,0.037909499197176816
blk_roll5,0.03566809509488635
ast_trend_5g,0.03491674153265753
team_ast_roll5,0.03426947461450946
pts_trend_5g,0.031881385894286816
reb_std_10g,0.030536734732693773
blk_roll3,0.02779130576531421
fg_pct_roll10,0.02495096775415039
oreb_roll10,0.022648754336848164
oreb_roll5,0.021599763381078208
reb_trend_5g,0.01902307286043283
oreb_roll3,0.016456057998370705
team_pts_roll5,0.010640321779225555
usage_trend,0.009564829363096636
three_point_rate,0.009502872061795715
team_3pm_roll5,0.008100101182281652
team_reb_roll5,0.0005242816807920956
is_b2b,-0.0047248859327308455
team_id,-0.014674426662448626
days_since_last,-0.019152555129086726
reb_per_min,-0.03243970119285317
player_id,-0.13694625315176345
reb_cv_10g,-0.15955074843436082
pts_cv_10g,-0.31952259414787965
ast_cv_10g,-0.4666641122287402
team_pace,
opp_def_rating,
opp_pace,
opp_pts_allowed_roll5,
opp_reb_allowed_roll5,
opp_3pt_defense,
is_home,
days_rest,
pts_home_advantage,
reb_home_advantage,
ast_home_advantage,
fg3m_home_advantage,
