feature,importance
fg3a_roll10,0.1564951
three_point_rate,0.11141812
pts_per_fga,0.10000086
is_high_min_game,0.08565364
usage_rate,0.030665979
fg3m_ewma_10,0.027419057
min_season_avg,0.016438989
fg3a_roll3,0.01642751
fga_roll10,0.014930246
pts_ewma_10,0.012712846
ast_to_tov,0.012230128
fga_roll5,0.011379658
min_roll5,0.010321704
fga_roll3,0.010288649
min_last_3g,0.009930807
fg3a_roll5,0.009056562
min_roll10,0.008904243
min_roll3,0.00845182
reb_per_min,0.008207089
fta_roll10,0.007809354
fgm_roll10,0.0065352656
ftm_roll10,0.00637421
three_point_rate_roll5,0.0062662717
reb_roll10,0.0062395087
ast_away_avg,0.0059544523
pts_ewma_5,0.005697923
fta_roll5,0.0055048033
pts_home_avg,0.005188623
fg3m_away_avg,0.0051201507
fg3m_roll10,0.004812674
fgm_roll5,0.004687434
ast_home_avg,0.0046348735
ftm_roll5,0.004595132
tov,0.0045726425
reb_home_avg,0.0045301616
oreb_roll10,0.004512895
reb_ewma_10,0.004500526
fg3m_home_avg,0.004385992
fgm_roll3,0.004306434
tov_roll5,0.004081235
days_since_last,0.004050727
ast_ewma_5,0.0039324197
tov_roll10,0.003843037
reb_ewma_5,0.003751868
dreb_roll10,0.0037268563
pts_vs_opp_last3,0.0037118325
fg3m_ewma_5,0.0037067425
reb_ewma_3,0.0036656072
fta_roll3,0.003656936
ast_roll10,0.0036457158
